ID,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
193,"A12",27.000000,"A32","A49",3915.000000,"A61","A73",4,"A93","A101",2,"A123",36.000000,"A143","A152",1,"A173","A192","A201",2
194,"A14",6.000000,"A32","A43",2108.000000,"A61","A74",2,"A94","A101",2,"A121",29.000000,"A143","A151",1,"A173","A191","A201",1
195,"A12",42.000000,"A32","A43",3031.000000,"A62","A73",4,"A93","A103",4,"A122",21.000000,"A143","A151",1,"A173","A191","A201",2
196,"A12",9.000000,"A34","A46",1501.000000,"A61","A75",2,"A92","A101",3,"A123",34.000000,"A143","A152",2,"A174","A192","A201",2
197,"A14",6.000000,"A34","A43",1382.000000,"A61","A73",1,"A92","A101",1,"A123",28.000000,"A143","A152",2,"A173","A192","A201",1
198,"A12",12.000000,"A32","A42",951.000000,"A62","A72",4,"A92","A101",4,"A123",27.000000,"A141","A151",4,"A173","A191","A201",2
199,"A12",24.000000,"A32","A41",2760.000000,"A65","A75",4,"A93","A101",4,"A124",36.000000,"A141","A153",1,"A173","A192","A201",1
200,"A12",18.000000,"A33","A42",4297.000000,"A61","A75",4,"A91","A101",3,"A124",40.000000,"A143","A152",1,"A174","A192","A201",2
201,"A14",9.000000,"A34","A46",936.000000,"A63","A75",4,"A93","A101",2,"A123",52.000000,"A143","A152",2,"A173","A192","A201",1
202,"A11",12.000000,"A32","A40",1168.000000,"A61","A73",4,"A94","A101",3,"A121",27.000000,"A143","A152",1,"A172","A191","A201",1
203,"A14",27.000000,"A33","A49",5117.000000,"A61","A74",3,"A93","A101",4,"A123",26.000000,"A143","A152",2,"A173","A191","A201",1
204,"A11",12.000000,"A32","A48",902.000000,"A61","A74",4,"A94","A101",4,"A122",21.000000,"A143","A151",1,"A173","A191","A201",2
205,"A14",12.000000,"A34","A40",1495.000000,"A61","A75",4,"A93","A101",1,"A121",38.000000,"A143","A152",2,"A172","A191","A201",1
206,"A11",30.000000,"A34","A41",7883.750000,"A61","A75",3,"A93","A101",4,"A124",38.000000,"A143","A153",3,"A174","A192","A201",1
207,"A14",12.000000,"A34","A42",1935.000000,"A61","A75",4,"A93","A101",4,"A121",43.000000,"A143","A152",3,"A173","A192","A201",1
208,"A12",12.000000,"A34","A44",1424.000000,"A61","A74",4,"A93","A101",3,"A122",26.000000,"A143","A152",1,"A173","A191","A201",1
209,"A11",24.000000,"A32","A49",6568.000000,"A61","A73",2,"A94","A101",2,"A123",21.000000,"A142","A152",1,"A172","A191","A201",1
210,"A14",12.000000,"A32","A41",1413.000000,"A64","A74",3,"A93","A101",2,"A122",55.000000,"A143","A152",1,"A173","A191","A202",1
211,"A14",9.000000,"A34","A43",3074.000000,"A65","A73",1,"A93","A101",2,"A121",33.000000,"A143","A152",2,"A173","A191","A201",1
212,"A14",36.000000,"A32","A43",3835.000000,"A65","A75",2,"A92","A101",4,"A121",45.000000,"A143","A152",1,"A172","A192","A201",1
213,"A11",27.000000,"A30","A49",5293.000000,"A61","A71",2,"A93","A101",4,"A122",50.000000,"A142","A152",2,"A173","A192","A201",2
214,"A13",30.000000,"A33","A49",1908.000000,"A61","A75",4,"A93","A101",4,"A121",64.500000,"A143","A152",1,"A174","A192","A201",2
215,"A14",36.000000,"A34","A43",3342.000000,"A65","A75",4,"A93","A101",2,"A123",51.000000,"A143","A152",1,"A173","A192","A201",1
216,"A12",6.000000,"A34","A48",932.000000,"A65","A74",1,"A92","A101",3,"A122",39.000000,"A143","A152",2,"A172","A191","A201",1
217,"A11",18.000000,"A30","A49",3104.000000,"A61","A74",3,"A93","A101",1,"A122",31.000000,"A141","A152",1,"A173","A192","A201",1
218,"A13",36.000000,"A32","A43",3913.000000,"A61","A73",2,"A93","A101",2,"A121",23.000000,"A143","A152",1,"A173","A192","A201",1
219,"A11",24.000000,"A32","A42",3021.000000,"A61","A73",2,"A91","A101",2,"A121",24.000000,"A143","A151",1,"A172","A191","A201",1
220,"A14",10.000000,"A32","A40",1364.000000,"A61","A73",2,"A92","A101",4,"A123",64.000000,"A143","A152",1,"A173","A192","A201",1
221,"A12",12.000000,"A32","A43",625.000000,"A61","A72",4,"A94","A103",1,"A121",26.000000,"A141","A152",1,"A172","A191","A201",1
222,"A11",12.000000,"A32","A46",1200.000000,"A65","A73",4,"A92","A101",4,"A122",23.000000,"A141","A151",1,"A173","A192","A201",1
223,"A14",12.000000,"A32","A43",707.000000,"A61","A73",4,"A93","A101",2,"A121",30.000000,"A141","A152",2,"A173","A191","A201",1
224,"A14",24.000000,"A33","A49",2978.000000,"A65","A73",4,"A93","A101",4,"A121",32.000000,"A143","A152",2,"A173","A192","A201",1
225,"A14",15.000000,"A32","A41",4657.000000,"A61","A73",3,"A93","A101",2,"A123",30.000000,"A143","A152",1,"A173","A192","A201",1
226,"A14",36.000000,"A30","A45",2613.000000,"A61","A73",4,"A93","A101",2,"A123",27.000000,"A143","A152",2,"A173","A191","A201",1
227,"A12",42.000000,"A32","A43",7883.750000,"A64","A74",1,"A93","A102",2,"A124",27.000000,"A141","A152",2,"A173","A192","A201",2
228,"A11",12.000000,"A32","A42",7865.000000,"A61","A75",4,"A93","A101",4,"A124",53.000000,"A143","A153",1,"A174","A192","A201",2
229,"A14",9.000000,"A32","A43",1478.000000,"A61","A74",4,"A93","A101",2,"A123",22.000000,"A143","A152",1,"A173","A191","A201",2
230,"A11",24.000000,"A32","A42",3149.000000,"A61","A72",4,"A93","A101",1,"A124",22.000000,"A141","A153",1,"A173","A191","A201",1
231,"A13",36.000000,"A32","A43",4210.000000,"A61","A73",4,"A93","A101",2,"A123",26.000000,"A143","A152",1,"A173","A191","A201",2
232,"A14",9.000000,"A32","A40",2507.000000,"A63","A75",2,"A93","A101",4,"A124",51.000000,"A143","A153",1,"A172","A191","A201",1
233,"A14",12.000000,"A32","A43",2141.000000,"A62","A74",3,"A93","A101",1,"A124",35.000000,"A143","A152",1,"A173","A191","A201",1
234,"A12",18.000000,"A32","A43",866.000000,"A61","A73",4,"A94","A103",2,"A121",25.000000,"A143","A152",1,"A172","A191","A201",1
235,"A14",4.000000,"A34","A43",1544.000000,"A61","A74",2,"A93","A101",1,"A121",42.000000,"A143","A152",3,"A172","A191","A201",1
236,"A11",24.000000,"A32","A43",1823.000000,"A61","A71",4,"A93","A101",2,"A123",30.000000,"A142","A152",1,"A174","A191","A201",2
237,"A12",6.000000,"A32","A40",7883.750000,"A65","A71",1,"A93","A101",2,"A122",23.000000,"A143","A152",1,"A171","A192","A201",2
238,"A12",21.000000,"A32","A49",2767.000000,"A62","A75",4,"A91","A101",2,"A123",61.000000,"A141","A151",2,"A172","A191","A201",2
239,"A14",12.000000,"A34","A43",1291.000000,"A61","A73",4,"A92","A101",2,"A122",35.000000,"A143","A152",2,"A173","A191","A201",1
240,"A11",30.000000,"A32","A43",2522.000000,"A61","A75",1,"A93","A103",3,"A122",39.000000,"A143","A152",1,"A173","A191","A201",1
241,"A11",24.000000,"A32","A40",915.000000,"A65","A75",4,"A92","A101",2,"A123",29.000000,"A141","A152",1,"A173","A191","A201",2
242,"A14",6.000000,"A32","A43",1595.000000,"A61","A74",3,"A93","A101",2,"A122",51.000000,"A143","A152",1,"A173","A191","A201",1
243,"A11",42.000000,"A30","A41",4605.000000,"A61","A75",3,"A93","A101",4,"A124",24.000000,"A143","A153",2,"A173","A191","A201",2
244,"A14",12.000000,"A34","A49",1185.000000,"A61","A73",3,"A92","A101",2,"A121",27.000000,"A143","A152",2,"A173","A191","A201",1
245,"A14",12.000000,"A31","A48",3447.000000,"A63","A73",4,"A92","A101",3,"A121",35.000000,"A143","A152",1,"A172","A191","A201",1
246,"A14",24.000000,"A32","A49",1258.000000,"A61","A74",4,"A93","A101",1,"A121",25.000000,"A143","A152",1,"A173","A192","A201",1
247,"A14",12.000000,"A34","A43",717.000000,"A61","A75",4,"A93","A101",4,"A121",52.000000,"A143","A152",3,"A173","A191","A201",1
248,"A14",6.000000,"A30","A40",1204.000000,"A62","A73",4,"A93","A101",1,"A124",35.000000,"A141","A151",1,"A173","A191","A202",1
249,"A13",24.000000,"A32","A42",1925.000000,"A61","A73",2,"A93","A101",2,"A121",26.000000,"A143","A152",1,"A173","A191","A201",1
250,"A14",18.000000,"A32","A43",433.000000,"A61","A71",3,"A92","A102",4,"A121",22.000000,"A143","A151",1,"A173","A191","A201",2
251,"A11",6.000000,"A34","A40",666.000000,"A64","A74",3,"A92","A101",4,"A121",39.000000,"A143","A152",2,"A172","A192","A201",1
252,"A13",12.000000,"A32","A42",2251.000000,"A61","A73",1,"A92","A101",2,"A123",46.000000,"A143","A152",1,"A172","A191","A201",1
253,"A12",30.000000,"A32","A40",2150.000000,"A61","A73",4,"A92","A103",2,"A124",24.000000,"A141","A152",1,"A173","A191","A201",2
254,"A14",24.000000,"A33","A42",4151.000000,"A62","A73",2,"A93","A101",3,"A122",35.000000,"A143","A152",2,"A173","A191","A201",1
255,"A12",9.000000,"A32","A42",2030.000000,"A65","A74",2,"A93","A101",1,"A123",24.000000,"A143","A152",1,"A173","A192","A201",1
256,"A12",42.000000,"A33","A43",7418.000000,"A65","A73",1,"A93","A101",1,"A121",27.000000,"A143","A152",1,"A172","A191","A201",1
257,"A14",24.000000,"A34","A43",2684.000000,"A61","A73",4,"A93","A101",2,"A121",35.000000,"A143","A152",2,"A172","A191","A201",1
258,"A11",12.000000,"A31","A43",2149.000000,"A61","A73",4,"A91","A101",1,"A124",29.000000,"A143","A153",1,"A173","A191","A201",2
259,"A14",15.000000,"A32","A41",3812.000000,"A62","A72",1,"A92","A101",4,"A123",23.000000,"A143","A152",1,"A173","A192","A201",1
260,"A14",11.000000,"A34","A43",1154.000000,"A62","A71",4,"A92","A101",4,"A121",57.000000,"A143","A152",3,"A172","A191","A201",1
261,"A11",12.000000,"A32","A42",1657.000000,"A61","A73",2,"A93","A101",2,"A121",27.000000,"A143","A152",1,"A173","A191","A201",1
262,"A11",24.000000,"A32","A43",1603.000000,"A61","A75",4,"A92","A101",4,"A123",55.000000,"A143","A152",1,"A173","A191","A201",1
263,"A11",18.000000,"A34","A40",5302.000000,"A61","A75",2,"A93","A101",4,"A124",36.000000,"A143","A153",3,"A174","A192","A201",1
264,"A14",12.000000,"A34","A46",2748.000000,"A61","A75",2,"A92","A101",4,"A124",57.000000,"A141","A153",3,"A172","A191","A201",1
265,"A14",10.000000,"A34","A40",1231.000000,"A61","A75",3,"A93","A101",4,"A121",32.000000,"A143","A152",2,"A172","A191","A202",1
266,"A12",15.000000,"A32","A43",802.000000,"A61","A75",4,"A93","A101",3,"A123",37.000000,"A143","A152",1,"A173","A191","A201",2
267,"A14",36.000000,"A34","A49",6304.000000,"A65","A75",4,"A93","A101",4,"A121",36.000000,"A143","A152",2,"A173","A191","A201",1
268,"A14",24.000000,"A32","A43",1533.000000,"A61","A72",4,"A92","A101",3,"A123",38.000000,"A142","A152",1,"A173","A192","A201",1
269,"A11",14.000000,"A32","A40",7883.750000,"A61","A75",1,"A91","A101",4,"A122",45.000000,"A143","A152",1,"A174","A192","A202",2
270,"A14",24.000000,"A32","A43",999.000000,"A65","A75",4,"A93","A101",2,"A123",25.000000,"A143","A152",2,"A173","A191","A201",1
271,"A14",18.000000,"A32","A40",2662.000000,"A65","A74",4,"A93","A101",3,"A122",32.000000,"A143","A152",1,"A173","A191","A202",1
272,"A14",12.000000,"A34","A42",1402.000000,"A63","A74",3,"A92","A101",4,"A123",37.000000,"A143","A151",1,"A173","A192","A201",1
273,"A12",42.000000,"A31","A40",7883.750000,"A65","A71",4,"A93","A102",4,"A124",36.000000,"A143","A153",1,"A174","A192","A201",1
274,"A12",42.000000,"A32","A43",3060.000000,"A61","A74",4,"A93","A101",4,"A121",28.000000,"A143","A152",2,"A173","A191","A201",2
275,"A11",30.000000,"A32","A45",7883.750000,"A61","A72",1,"A91","A101",1,"A124",34.000000,"A143","A152",1,"A172","A192","A201",2
276,"A14",9.000000,"A32","A43",2697.000000,"A61","A73",1,"A93","A101",2,"A121",32.000000,"A143","A152",1,"A173","A191","A201",1
277,"A14",18.000000,"A34","A43",2404.000000,"A61","A73",2,"A92","A101",2,"A123",26.000000,"A143","A152",2,"A173","A191","A201",1
278,"A11",12.000000,"A32","A42",1262.000000,"A65","A75",2,"A91","A101",4,"A122",49.000000,"A143","A152",1,"A172","A192","A201",1
279,"A14",6.000000,"A32","A42",4611.000000,"A61","A72",1,"A92","A101",4,"A122",32.000000,"A143","A152",1,"A173","A191","A201",2
280,"A14",24.000000,"A32","A43",1901.000000,"A62","A73",4,"A93","A101",4,"A123",29.000000,"A143","A151",1,"A174","A192","A201",1
281,"A14",15.000000,"A34","A41",3368.000000,"A64","A75",3,"A93","A101",4,"A124",23.000000,"A143","A151",2,"A173","A192","A201",1
282,"A14",12.000000,"A32","A42",1574.000000,"A61","A73",4,"A93","A101",2,"A121",50.000000,"A143","A152",1,"A173","A191","A201",1
283,"A13",18.000000,"A31","A43",1445.000000,"A65","A74",4,"A93","A101",4,"A123",49.000000,"A141","A152",1,"A172","A191","A201",1
284,"A14",15.000000,"A34","A42",1520.000000,"A65","A75",4,"A93","A101",4,"A122",63.000000,"A143","A152",1,"A173","A191","A201",1
285,"A12",24.000000,"A34","A40",3878.000000,"A62","A72",4,"A91","A101",2,"A123",37.000000,"A143","A152",1,"A173","A192","A201",1
286,"A11",42.000000,"A32","A40",7883.750000,"A61","A72",1,"A92","A101",1,"A121",35.000000,"A143","A152",1,"A172","A192","A201",1
287,"A11",42.000000,"A32","A41",4788.000000,"A61","A74",4,"A93","A101",3,"A122",26.000000,"A143","A152",1,"A173","A191","A201",1
288,"A12",42.000000,"A33","A410",7582.000000,"A62","A71",2,"A93","A101",4,"A124",31.000000,"A143","A153",1,"A174","A192","A201",1
289,"A12",12.000000,"A32","A43",1092.000000,"A61","A73",4,"A92","A103",4,"A121",49.000000,"A143","A152",2,"A173","A192","A201",1
290,"A11",24.000000,"A33","A43",1024.000000,"A61","A72",4,"A94","A101",4,"A121",48.000000,"A142","A152",1,"A173","A191","A201",2
291,"A14",12.000000,"A32","A49",1076.000000,"A61","A73",2,"A94","A101",2,"A121",26.000000,"A143","A152",1,"A173","A192","A202",1
292,"A12",36.000000,"A32","A41",7883.750000,"A61","A72",1,"A94","A101",4,"A123",28.000000,"A143","A151",1,"A174","A192","A201",2
293,"A11",24.000000,"A34","A41",6419.000000,"A61","A75",2,"A92","A101",4,"A124",44.000000,"A143","A153",2,"A174","A192","A201",1
294,"A13",42.000000,"A34","A41",4796.000000,"A61","A75",4,"A93","A101",4,"A124",56.000000,"A143","A153",1,"A173","A191","A201",1
295,"A14",42.000000,"A34","A49",7629.000000,"A65","A75",4,"A91","A101",2,"A123",46.000000,"A141","A152",2,"A174","A191","A201",1
296,"A12",42.000000,"A32","A42",7883.750000,"A61","A72",1,"A92","A101",2,"A123",26.000000,"A143","A152",1,"A173","A192","A201",2
297,"A14",12.000000,"A32","A41",4675.000000,"A65","A72",1,"A92","A101",4,"A123",20.000000,"A143","A151",1,"A173","A191","A201",1
298,"A14",10.000000,"A32","A40",1287.000000,"A65","A75",4,"A93","A102",2,"A122",45.000000,"A143","A152",1,"A172","A191","A202",1
299,"A14",18.000000,"A32","A42",2515.000000,"A61","A73",3,"A93","A101",4,"A121",43.000000,"A143","A152",1,"A173","A192","A201",1
300,"A12",21.000000,"A34","A42",2745.000000,"A64","A74",3,"A93","A101",2,"A123",32.000000,"A143","A152",2,"A173","A192","A201",1
301,"A14",6.000000,"A32","A40",672.000000,"A61","A71",1,"A92","A101",4,"A121",54.000000,"A143","A152",1,"A171","A192","A201",1
302,"A12",36.000000,"A30","A43",3804.000000,"A61","A73",4,"A92","A101",1,"A123",42.000000,"A143","A152",1,"A173","A192","A201",2
303,"A13",24.000000,"A34","A40",1344.000000,"A65","A74",4,"A93","A101",2,"A121",37.000000,"A141","A152",2,"A172","A191","A201",2
304,"A11",10.000000,"A34","A40",1038.000000,"A61","A74",4,"A93","A102",3,"A122",49.000000,"A143","A152",2,"A173","A192","A201",1
305,"A14",42.000000,"A34","A40",7883.750000,"A63","A73",2,"A93","A101",2,"A124",44.000000,"A141","A153",1,"A173","A191","A201",2
306,"A14",6.000000,"A32","A42",1543.000000,"A64","A73",4,"A91","A101",2,"A121",33.000000,"A143","A152",1,"A173","A191","A201",1
307,"A14",30.000000,"A32","A41",4811.000000,"A65","A74",2,"A92","A101",4,"A122",24.000000,"A142","A151",1,"A172","A191","A201",1
308,"A11",12.000000,"A32","A43",727.000000,"A62","A72",4,"A94","A101",3,"A124",33.000000,"A143","A152",1,"A172","A192","A201",2
309,"A12",8.000000,"A32","A42",1237.000000,"A61","A73",3,"A92","A101",4,"A121",24.000000,"A143","A152",1,"A173","A191","A201",2
310,"A12",9.000000,"A32","A40",276.000000,"A61","A73",4,"A94","A101",4,"A121",22.000000,"A143","A151",1,"A172","A191","A201",1
311,"A12",42.000000,"A32","A410",5381.000000,"A65","A71",3,"A93","A101",4,"A124",40.000000,"A141","A153",1,"A171","A192","A201",1
312,"A14",24.000000,"A32","A42",5511.000000,"A62","A73",4,"A93","A101",1,"A123",25.000000,"A142","A152",1,"A173","A191","A201",1
313,"A13",24.000000,"A32","A42",3749.000000,"A61","A72",2,"A92","A101",4,"A123",26.000000,"A143","A152",1,"A173","A191","A201",1
314,"A12",12.000000,"A32","A40",685.000000,"A61","A74",2,"A94","A101",3,"A123",25.000000,"A141","A152",1,"A172","A191","A201",2
315,"A13",4.000000,"A32","A40",1494.000000,"A65","A72",1,"A93","A101",2,"A121",29.000000,"A143","A152",1,"A172","A191","A202",1
316,"A11",36.000000,"A31","A42",2746.000000,"A61","A75",4,"A93","A101",4,"A123",31.000000,"A141","A152",1,"A173","A191","A201",2
317,"A11",12.000000,"A32","A42",708.000000,"A61","A73",2,"A93","A103",3,"A122",38.000000,"A143","A152",1,"A172","A191","A201",1
318,"A12",24.000000,"A32","A42",4351.000000,"A65","A73",1,"A92","A101",4,"A122",48.000000,"A143","A152",1,"A172","A192","A201",1
319,"A14",12.000000,"A34","A46",701.000000,"A61","A73",4,"A93","A101",2,"A123",32.000000,"A143","A152",2,"A173","A191","A201",1
320,"A11",15.000000,"A33","A42",3643.000000,"A61","A75",1,"A92","A101",4,"A122",27.000000,"A143","A152",2,"A172","A191","A201",1
321,"A12",30.000000,"A34","A40",4249.000000,"A61","A71",4,"A94","A101",2,"A123",28.000000,"A143","A152",2,"A174","A191","A201",2
322,"A11",24.000000,"A32","A43",1938.000000,"A61","A72",4,"A91","A101",3,"A122",32.000000,"A143","A152",1,"A173","A191","A201",2
323,"A11",24.000000,"A32","A41",2910.000000,"A61","A74",2,"A93","A101",1,"A124",34.000000,"A143","A153",1,"A174","A192","A201",1
324,"A11",18.000000,"A32","A42",2659.000000,"A64","A73",4,"A93","A101",2,"A123",28.000000,"A143","A152",1,"A173","A191","A201",1
325,"A14",18.000000,"A34","A40",1028.000000,"A61","A73",4,"A92","A101",3,"A121",36.000000,"A143","A152",2,"A173","A191","A201",1
326,"A11",8.000000,"A34","A40",3398.000000,"A61","A74",1,"A93","A101",4,"A121",39.000000,"A143","A152",2,"A172","A191","A202",1
327,"A14",12.000000,"A34","A42",5801.000000,"A65","A75",2,"A93","A101",4,"A122",49.000000,"A143","A151",1,"A173","A192","A201",1
328,"A14",24.000000,"A32","A40",1525.000000,"A64","A74",4,"A92","A101",3,"A123",34.000000,"A143","A152",1,"A173","A192","A201",1
329,"A13",36.000000,"A32","A43",4473.000000,"A61","A75",4,"A93","A101",2,"A123",31.000000,"A143","A152",1,"A173","A191","A201",1
330,"A12",6.000000,"A32","A43",1068.000000,"A61","A75",4,"A93","A101",4,"A123",28.000000,"A143","A152",1,"A173","A191","A201",1
331,"A11",24.000000,"A34","A41",6615.000000,"A61","A71",2,"A93","A101",4,"A124",64.500000,"A143","A153",2,"A174","A192","A201",1
332,"A14",18.000000,"A34","A46",1864.000000,"A62","A73",4,"A92","A101",2,"A121",30.000000,"A143","A152",2,"A173","A191","A201",2
333,"A12",42.000000,"A32","A40",7408.000000,"A62","A72",4,"A92","A101",2,"A122",24.000000,"A143","A152",1,"A174","A191","A201",2
334,"A14",42.000000,"A34","A41",7883.750000,"A62","A73",2,"A92","A101",4,"A123",24.000000,"A141","A151",2,"A172","A191","A201",2
335,"A11",24.000000,"A30","A42",4110.000000,"A61","A75",3,"A93","A101",4,"A124",23.000000,"A141","A151",2,"A173","A191","A201",2
336,"A11",6.000000,"A34","A42",3384.000000,"A61","A73",1,"A91","A101",4,"A121",44.000000,"A143","A151",1,"A174","A192","A201",2
337,"A12",13.000000,"A32","A43",2101.000000,"A61","A72",2,"A92","A103",4,"A122",23.000000,"A143","A152",1,"A172","A191","A201",1
338,"A11",15.000000,"A32","A44",1275.000000,"A65","A73",4,"A92","A101",2,"A123",24.000000,"A143","A151",1,"A173","A191","A201",2
339,"A11",24.000000,"A32","A42",4169.000000,"A61","A73",4,"A93","A101",4,"A122",28.000000,"A143","A152",1,"A173","A191","A201",1
340,"A12",10.000000,"A32","A42",1521.000000,"A61","A73",4,"A91","A101",2,"A123",31.000000,"A143","A152",1,"A172","A191","A201",1
341,"A12",24.000000,"A34","A46",5743.000000,"A61","A72",2,"A92","A101",4,"A124",24.000000,"A143","A153",2,"A173","A192","A201",1
342,"A11",21.000000,"A32","A42",3599.000000,"A61","A74",1,"A92","A101",4,"A123",26.000000,"A143","A151",1,"A172","A191","A201",1
343,"A12",18.000000,"A32","A43",3213.000000,"A63","A72",1,"A94","A101",3,"A121",25.000000,"A143","A151",1,"A173","A191","A201",1
344,"A12",18.000000,"A32","A49",4439.000000,"A61","A75",1,"A93","A102",1,"A121",33.000000,"A141","A152",1,"A174","A192","A201",1
345,"A13",10.000000,"A32","A40",3949.000000,"A61","A72",1,"A93","A103",1,"A122",37.000000,"A143","A152",1,"A172","A191","A201",1
346,"A14",15.000000,"A34","A43",1459.000000,"A61","A73",4,"A92","A101",2,"A123",43.000000,"A143","A152",1,"A172","A191","A201",1
347,"A12",13.000000,"A34","A43",882.000000,"A61","A72",4,"A93","A103",4,"A121",23.000000,"A143","A152",2,"A173","A191","A201",1
348,"A12",24.000000,"A32","A43",3758.000000,"A63","A71",1,"A92","A101",4,"A124",23.000000,"A143","A151",1,"A171","A191","A201",1
349,"A14",6.000000,"A33","A49",1743.000000,"A62","A73",1,"A93","A101",2,"A121",34.000000,"A143","A152",2,"A172","A191","A201",1
350,"A12",9.000000,"A34","A46",1136.000000,"A64","A75",4,"A93","A101",3,"A124",32.000000,"A143","A153",2,"A173","A191","A201",2
351,"A14",9.000000,"A32","A44",1236.000000,"A61","A72",1,"A92","A101",4,"A121",23.000000,"A143","A151",1,"A173","A192","A201",1
352,"A12",9.000000,"A32","A42",959.000000,"A61","A73",1,"A92","A101",2,"A123",29.000000,"A143","A152",1,"A173","A191","A202",2
353,"A14",18.000000,"A34","A41",3229.000000,"A65","A71",2,"A93","A101",4,"A124",38.000000,"A143","A152",1,"A174","A192","A201",1
354,"A11",12.000000,"A30","A43",6199.000000,"A61","A73",4,"A93","A101",2,"A122",28.000000,"A143","A151",2,"A173","A192","A201",2
355,"A14",10.000000,"A32","A46",727.000000,"A63","A75",4,"A93","A101",4,"A124",46.000000,"A143","A153",1,"A173","A192","A201",1
356,"A12",24.000000,"A32","A40",1246.000000,"A61","A72",4,"A93","A101",2,"A121",23.000000,"A142","A152",1,"A172","A191","A201",2
357,"A14",12.000000,"A34","A43",2331.000000,"A65","A75",1,"A93","A102",4,"A121",49.000000,"A143","A152",1,"A173","A192","A201",1
358,"A14",36.000000,"A33","A43",4463.000000,"A61","A73",4,"A93","A101",2,"A123",26.000000,"A143","A152",2,"A174","A192","A201",2
359,"A14",12.000000,"A32","A43",776.000000,"A61","A73",4,"A94","A101",2,"A121",28.000000,"A143","A152",1,"A173","A191","A201",1
360,"A11",30.000000,"A32","A42",2406.000000,"A61","A74",4,"A92","A101",4,"A121",23.000000,"A143","A151",1,"A173","A191","A201",2
361,"A12",18.000000,"A32","A46",1239.000000,"A65","A73",4,"A93","A101",4,"A124",61.000000,"A143","A153",1,"A173","A191","A201",1
362,"A13",12.000000,"A32","A43",3399.000000,"A65","A75",2,"A93","A101",3,"A123",37.000000,"A143","A152",1,"A174","A191","A201",1
363,"A13",12.000000,"A33","A40",2247.000000,"A61","A73",2,"A92","A101",2,"A123",36.000000,"A142","A152",2,"A173","A192","A201",1
364,"A14",6.000000,"A32","A42",1766.000000,"A61","A73",1,"A94","A101",2,"A122",21.000000,"A143","A151",1,"A173","A191","A201",1
365,"A11",18.000000,"A32","A42",2473.000000,"A61","A71",4,"A93","A101",1,"A123",25.000000,"A143","A152",1,"A171","A191","A201",2
366,"A14",12.000000,"A32","A49",1542.000000,"A61","A74",2,"A93","A101",4,"A123",36.000000,"A143","A152",1,"A173","A192","A201",1
367,"A14",18.000000,"A34","A41",3850.000000,"A61","A74",3,"A93","A101",1,"A123",27.000000,"A143","A152",2,"A173","A191","A201",1
368,"A11",18.000000,"A32","A42",3650.000000,"A61","A72",1,"A92","A101",4,"A123",22.000000,"A143","A151",1,"A173","A191","A201",1
369,"A11",36.000000,"A32","A42",3446.000000,"A61","A75",4,"A93","A101",2,"A123",42.000000,"A143","A152",1,"A173","A191","A201",2
370,"A12",18.000000,"A32","A42",3001.000000,"A61","A74",2,"A92","A101",4,"A121",40.000000,"A143","A151",1,"A173","A191","A201",1
371,"A14",36.000000,"A32","A40",3079.000000,"A65","A73",4,"A93","A101",4,"A121",36.000000,"A143","A152",1,"A173","A191","A201",1
372,"A14",18.000000,"A34","A43",6070.000000,"A61","A75",3,"A93","A101",4,"A123",33.000000,"A143","A152",2,"A173","A192","A201",1
373,"A14",10.000000,"A34","A42",2146.000000,"A61","A72",1,"A92","A101",3,"A121",23.000000,"A143","A151",2,"A173","A191","A201",1
374,"A14",42.000000,"A34","A40",7883.750000,"A65","A75",2,"A93","A101",4,"A124",63.000000,"A141","A153",1,"A174","A192","A201",1
375,"A12",42.000000,"A31","A410",7883.750000,"A62","A75",3,"A92","A101",4,"A124",60.000000,"A141","A153",2,"A174","A192","A201",2
376,"A11",42.000000,"A31","A49",7685.000000,"A61","A74",2,"A92","A103",4,"A123",37.000000,"A143","A151",1,"A173","A191","A201",2
377,"A14",18.000000,"A33","A43",2320.000000,"A61","A71",2,"A94","A101",3,"A121",34.000000,"A143","A152",2,"A173","A191","A201",1
378,"A14",7.000000,"A33","A43",846.000000,"A65","A75",3,"A93","A101",4,"A124",36.000000,"A143","A153",1,"A173","A191","A201",1
379,"A12",36.000000,"A32","A40",7883.750000,"A61","A75",4,"A93","A101",2,"A124",57.000000,"A143","A153",1,"A174","A192","A201",2
380,"A14",6.000000,"A34","A40",362.000000,"A62","A73",4,"A92","A101",4,"A123",52.000000,"A143","A152",2,"A172","A191","A201",1
381,"A11",20.000000,"A32","A42",2212.000000,"A65","A74",4,"A93","A101",4,"A123",39.000000,"A143","A152",1,"A173","A192","A201",1
382,"A12",18.000000,"A32","A41",7883.750000,"A61","A71",3,"A92","A101",4,"A124",38.000000,"A143","A153",1,"A174","A192","A201",2
383,"A14",22.000000,"A32","A40",1283.000000,"A65","A74",4,"A92","A101",4,"A122",25.000000,"A143","A151",1,"A173","A191","A201",1
384,"A13",12.000000,"A32","A40",1330.000000,"A61","A72",4,"A93","A101",1,"A121",26.000000,"A143","A152",1,"A173","A191","A201",1
385,"A14",30.000000,"A33","A49",4272.000000,"A62","A73",2,"A93","A101",2,"A122",26.000000,"A143","A152",2,"A172","A191","A201",1
