SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.583,3.019,1.375,0.23,setosa
6.008,2.942,4.321,1.638,versicolor
5.217,3.97,1.27,0.282,setosa
4.8,3.1,1.6,0.2,setosa
6.053,2.889,4.493,1.161,versicolor
6.8,3.0,5.5,2.1,virginica
7.274,2.824,5.445,2.352,virginica
5.632,2.937,5.855,1.945,virginica
5.423,3.516,1.54,0.394,setosa
6.763,3.351,4.727,1.43,versicolor
6.658,3.005,5.585,1.988,virginica
5.595,3.539,5.204,1.761,virginica
5.781,2.816,4.389,1.381,versicolor
5.441,3.891,1.389,0.373,setosa
6.151,3.327,5.521,1.998,virginica
6.673,2.911,5.514,2.053,virginica
7.1,3.0,5.9,2.1,virginica
6.883,2.941,5.786,2.103,virginica
5.843,2.628,3.766,1.156,versicolor
6.4,3.2,4.5,1.5,versicolor
6.193,2.881,4.026,1.175,versicolor
5.033,3.367,1.491,0.259,setosa
6.335,2.931,5.665,1.986,virginica
6.117,2.879,4.174,1.529,versicolor
6.587,2.959,5.538,2.03,virginica
4.854,3.303,1.398,0.255,setosa
5.011,3.463,1.532,0.274,setosa
6.121,2.921,4.248,1.269,versicolor
5.8,2.7,3.9,1.2,versicolor
5.634,3.484,5.28,1.884,virginica
5.329,2.417,6.145,2.288,virginica
6.524,2.979,5.526,2.047,virginica
7.251,2.763,5.56,2.504,virginica
6.702,3.086,5.678,2.021,virginica
5.223,3.442,1.274,0.318,setosa
6.716,3.371,5.753,2.264,virginica
4.948,3.423,1.731,0.433,setosa
7.7,2.8,6.7,2.0,virginica
5.6,2.9,3.6,1.3,versicolor
5.976,2.812,4.32,1.354,versicolor
6.521,2.993,5.519,2.029,virginica
5.1,3.7,1.5,0.4,setosa
5.054,3.422,1.456,0.219,setosa
6.397,3.251,4.183,1.265,versicolor
6.039,2.692,4.196,1.297,versicolor
5.999,2.814,4.694,1.035,versicolor
5.788,3.226,3.835,1.368,versicolor
6.694,2.742,5.469,2.089,virginica
4.904,3.611,1.527,0.233,setosa
6.511,3.001,5.427,2.15,virginica
5.001,3.001,1.58,0.323,setosa
6.049,2.574,4.396,1.324,versicolor
4.525,3.506,1.242,0.245,setosa
6.3,2.3,4.4,1.3,versicolor
6.5,3.0,5.5,1.8,virginica
5.036,3.362,1.478,0.247,setosa
4.796,3.178,1.495,0.109,setosa
4.993,3.528,1.389,0.202,setosa
6.417,2.636,5.69,1.974,virginica
6.592,3.085,5.494,1.993,virginica
5.889,2.74,4.227,1.235,versicolor
6.399,2.507,3.938,1.413,versicolor
5.79,2.85,4.38,1.296,versicolor
6.755,3.253,4.447,1.412,versicolor
6.175,2.698,4.016,1.386,versicolor
5.791,2.669,4.225,1.35,versicolor
6.66,3.068,5.568,1.761,virginica
4.996,4.025,1.265,0.21,setosa
4.988,3.486,1.239,0.234,setosa
5.479,2.943,4.316,1.433,versicolor
7.0,2.902,5.286,1.925,virginica
6.563,2.988,5.618,2.07,virginica
5.104,2.955,1.633,0.128,setosa
6.911,2.747,5.597,1.888,virginica
6.095,2.645,4.458,1.312,versicolor
5.614,2.939,3.612,1.175,versicolor
5.589,3.337,1.374,0.324,setosa
5.099,3.396,1.458,0.255,setosa
5.206,3.57,1.394,0.253,setosa
6.529,2.758,5.358,1.998,virginica
6.4,2.7,5.3,1.9,virginica
6.361,2.978,4.932,1.311,versicolor
5.921,2.748,4.215,1.326,versicolor
6.482,3.206,4.798,1.25,versicolor
6.218,3.028,4.788,1.065,versicolor
5.487,2.791,3.752,1.377,versicolor
5.064,3.24,1.624,0.308,setosa
6.124,2.407,4.772,1.449,versicolor
6.153,2.834,4.239,1.248,versicolor
5.733,3.106,5.274,1.704,virginica
4.904,3.956,1.864,0.264,setosa
6.17,2.804,4.117,1.203,versicolor
6.5,3.0,5.8,2.2,virginica
5.0,2.0,3.5,1.0,versicolor
5.1,3.468,1.514,0.304,setosa
5.99,2.651,4.085,1.138,versicolor
6.961,2.842,5.455,2.296,virginica
6.403,2.954,4.234,1.224,versicolor
6.363,2.625,5.563,1.831,virginica
5.85,2.499,4.959,1.906,virginica
6.286,2.807,5.873,2.208,virginica
5.109,2.697,1.365,0.299,setosa
6.826,3.066,5.21,1.639,virginica
6.211,2.924,5.651,2.014,virginica
4.898,3.281,1.502,0.248,setosa
6.699,3.437,5.886,2.068,virginica
7.4,2.8,6.1,1.9,virginica
6.558,3.136,5.667,2.027,virginica
6.448,2.969,5.653,1.982,virginica
5.012,3.499,1.479,0.22,setosa
5.404,2.284,4.37,1.087,versicolor
5.827,2.577,4.587,1.444,versicolor
5.94,2.773,4.239,1.313,versicolor
5.0,3.5,1.3,0.3,setosa
5.378,2.976,1.379,0.342,setosa
5.544,2.93,4.375,1.362,versicolor
5.1,3.8,1.5,0.3,setosa
5.4,3.4,1.5,0.4,setosa
5.267,2.923,4.178,1.264,versicolor
5.932,2.831,4.207,1.325,versicolor
4.902,3.157,1.296,0.276,setosa
6.665,2.961,5.314,2.149,virginica
6.245,3.021,5.516,1.886,virginica
5.94,2.748,4.286,1.344,versicolor
5.666,2.833,4.384,1.136,versicolor
5.713,2.465,3.958,1.336,versicolor
5.986,2.558,4.26,1.271,versicolor
6.01,3.386,5.296,2.082,virginica
6.524,2.998,5.552,2.021,virginica
4.852,3.569,1.382,0.189,setosa
5.961,3.005,4.295,1.343,versicolor
6.227,3.117,5.65,2.085,virginica
6.105,2.692,4.321,1.266,versicolor
6.181,3.104,5.646,2.055,virginica
4.977,3.257,1.393,0.322,setosa
6.681,2.911,5.624,2.108,virginica
5.0,3.0,1.6,0.2,setosa
5.616,2.422,3.647,1.575,versicolor
6.602,3.254,5.168,1.631,versicolor
5.052,3.262,1.446,0.28,setosa
6.849,2.781,5.276,2.289,virginica
5.797,2.737,4.041,1.404,versicolor
6.313,3.347,5.652,1.793,virginica
5.5,3.5,1.3,0.2,setosa
5.021,3.393,1.458,0.229,setosa
6.648,2.988,5.58,1.952,virginica
7.32,2.811,5.542,2.215,virginica
5.142,3.138,1.474,0.196,setosa
5.894,2.792,4.273,1.323,versicolor
5.816,2.768,5.804,2.011,virginica
6.839,3.009,5.441,2.035,virginica
6.514,2.808,5.451,2.144,virginica
5.136,3.266,1.377,0.257,setosa
6.262,2.84,4.071,1.149,versicolor
4.989,3.396,1.772,0.12,setosa
5.696,2.708,5.081,2.057,virginica
4.646,3.116,1.416,0.14,setosa
6.688,3.01,5.443,2.102,virginica
7.141,2.691,5.801,2.262,virginica
5.199,3.393,1.458,0.235,setosa
5.442,3.059,3.761,1.126,versicolor
5.0,3.328,1.433,0.234,setosa
5.877,2.709,3.677,1.412,versicolor
5.604,2.882,4.518,1.461,versicolor
5.833,2.996,4.317,1.351,versicolor
6.552,3.238,5.737,2.279,virginica
5.449,3.017,1.427,0.116,setosa
7.199,2.807,5.667,1.804,virginica
6.247,2.766,5.338,2.051,virginica
6.01,2.468,4.626,1.329,versicolor
6.42,2.689,5.574,1.892,virginica
5.1,3.5,1.4,0.3,setosa
6.457,2.692,5.599,1.96,virginica
5.905,2.587,4.505,1.111,versicolor
4.927,3.261,1.503,0.239,setosa
5.866,2.833,4.419,1.404,versicolor
4.864,3.548,1.389,0.224,setosa
5.0,3.5,1.6,0.6,setosa
6.121,2.879,5.388,1.904,virginica
4.728,3.173,1.463,0.277,setosa
5.189,3.046,1.115,0.244,setosa
6.3,3.4,5.6,2.4,virginica
6.572,2.963,5.547,2.047,virginica
4.904,3.418,1.528,0.216,setosa
5.852,2.71,4.148,1.39,versicolor
4.893,3.369,1.405,0.303,setosa
4.355,3.021,1.24,0.195,setosa
6.022,3.156,5.428,2.205,virginica
5.897,2.447,4.256,1.309,versicolor
5.4,3.7,1.5,0.2,setosa
6.095,3.01,5.679,1.908,virginica
5.0,3.406,1.467,0.238,setosa
6.032,2.705,4.322,1.349,versicolor
4.993,3.52,1.647,0.223,setosa
4.984,3.407,1.453,0.244,setosa
4.7,3.2,1.3,0.2,setosa
5.885,3.021,3.686,1.048,versicolor
4.988,3.929,1.214,0.248,setosa
4.757,3.474,1.374,0.254,setosa
5.724,2.884,4.568,1.303,versicolor
5.79,2.718,3.994,1.379,versicolor
5.535,3.407,1.377,0.344,setosa
6.982,2.826,5.622,1.933,virginica
5.306,3.831,1.501,0.236,setosa
6.912,3.008,5.666,2.001,virginica
4.987,3.4,1.461,0.249,setosa
6.635,2.972,5.602,2.047,virginica
6.621,2.855,5.633,1.842,virginica
7.168,2.734,6.065,2.378,virginica
5.027,3.189,1.559,0.245,setosa
4.894,3.41,1.407,0.255,setosa
4.935,3.148,1.544,0.226,setosa
5.637,2.7,4.465,1.308,versicolor
6.394,2.822,4.29,1.5,versicolor
6.034,2.843,4.323,1.384,versicolor
4.963,3.697,1.294,0.283,setosa
