Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
406,5.4980 ,3.0970 ,3.9840 ,1.3500 ,versicolor
407,6.2640 ,3.0180 ,5.6100 ,2.1000 ,virginica
408,5.8250 ,2.8650 ,5.3280 ,1.9820 ,virginica
409,6.2090 ,2.5420 ,4.3330 ,1.1770 ,versicolor
410,4.5590 ,3.2530 ,1.6940 ,0.1720 ,setosa
411,6.0630 ,2.7170 ,5.4430 ,2.1460 ,virginica
412,4.5850 ,3.6330 ,1.1760 ,0.3450 ,setosa
413,5.3610 ,3.2450 ,4.1900 ,1.1050 ,versicolor
414,5.0340 ,3.4270 ,1.4740 ,0.2460 ,setosa
415,5.0910 ,2.8890 ,1.6010 ,0.0440 ,setosa
416,5.7850 ,2.7300 ,4.1660 ,1.1920 ,versicolor
417,6.0230 ,2.6970 ,4.5020 ,1.2760 ,versicolor
418,6.7000 ,3.1000 ,5.6000 ,2.4000 ,virginica
419,6.5540 ,3.0330 ,5.5970 ,2.0640 ,virginica
420,4.8430 ,3.0470 ,1.5720 ,0.1960 ,setosa
421,6.2840 ,2.5470 ,4.2600 ,1.2090 ,versicolor
422,4.9360 ,2.8620 ,1.4270 ,0.1090 ,setosa
423,5.2760 ,3.5020 ,1.5860 ,0.2500 ,setosa
424,6.0730 ,2.7990 ,5.4070 ,2.1490 ,virginica
425,4.6000 ,3.4000 ,1.4000 ,0.3000 ,setosa
426,4.5970 ,3.0360 ,1.2820 ,0.1870 ,setosa
427,4.9180 ,3.6470 ,1.2880 ,0.2120 ,setosa
428,4.9340 ,3.2650 ,1.3950 ,0.2170 ,setosa
429,6.0390 ,2.8980 ,4.3950 ,1.3550 ,versicolor
430,5.9100 ,2.9590 ,4.0650 ,1.4470 ,versicolor
431,6.9110 ,2.8820 ,5.7100 ,2.0430 ,virginica
432,5.6870 ,2.4450 ,4.3860 ,1.3900 ,versicolor
433,5.9230 ,2.9600 ,4.3530 ,1.2800 ,versicolor
434,6.1810 ,2.7370 ,3.9010 ,1.4700 ,versicolor
435,5.9020 ,2.8070 ,4.1270 ,1.3880 ,versicolor
436,6.7000 ,2.9090 ,5.5080 ,2.0420 ,virginica
437,6.8390 ,2.6020 ,5.4650 ,2.0900 ,virginica
438,5.9790 ,2.8250 ,4.1460 ,1.2470 ,versicolor
439,6.9530 ,2.8660 ,5.5040 ,1.8160 ,virginica
440,6.0260 ,2.4660 ,5.2030 ,2.5010 ,virginica
441,6.1480 ,2.8550 ,5.7330 ,2.0150 ,virginica
442,6.0470 ,2.8190 ,5.4090 ,1.9190 ,virginica
443,5.7000 ,2.8000 ,4.1000 ,1.3000 ,versicolor
444,5.2000 ,3.5000 ,1.5000 ,0.2000 ,setosa
445,7.3000 ,2.9000 ,6.3000 ,1.8000 ,virginica
446,5.7950 ,2.8380 ,4.4480 ,1.3670 ,versicolor
447,5.1780 ,4.1640 ,1.5830 ,0.3660 ,setosa
448,5.7430 ,2.4290 ,5.4670 ,2.0720 ,virginica
449,5.8000 ,2.8000 ,5.1000 ,2.4000 ,virginica
450,5.4490 ,3.6500 ,1.2800 ,0.1610 ,setosa
451,5.0400 ,3.4450 ,1.4770 ,0.2770 ,setosa
452,6.2510 ,3.0990 ,3.9660 ,1.0590 ,versicolor
453,5.1240 ,3.1330 ,1.4280 ,0.2120 ,setosa
454,6.0000 ,2.2000 ,5.0000 ,1.5000 ,virginica
455,5.0430 ,3.3560 ,1.5620 ,0.3150 ,setosa
456,5.6390 ,3.4200 ,3.9130 ,0.9990 ,versicolor
457,6.3010 ,2.7400 ,5.4650 ,2.1110 ,virginica
458,6.7500 ,2.9940 ,5.4670 ,2.0400 ,virginica
459,6.7940 ,2.8300 ,5.6640 ,1.9680 ,virginica
460,6.0800 ,2.8470 ,3.5530 ,1.3160 ,versicolor
461,5.0470 ,3.4990 ,1.4320 ,0.2360 ,setosa
462,5.0000 ,3.6730 ,1.3540 ,0.1940 ,setosa
463,6.1240 ,2.6050 ,4.1470 ,1.3910 ,versicolor
464,6.7850 ,2.7630 ,5.2410 ,2.1690 ,virginica
465,5.5330 ,2.9290 ,4.4210 ,1.3980 ,versicolor
466,4.9940 ,3.4830 ,1.4410 ,0.2100 ,setosa
467,5.4000 ,3.9000 ,1.7000 ,0.4000 ,setosa
468,5.0050 ,3.2350 ,1.2340 ,0.2560 ,setosa
469,6.1300 ,2.7490 ,3.9500 ,1.2360 ,versicolor
470,6.3240 ,2.8820 ,4.5250 ,1.3130 ,versicolor
471,5.8880 ,2.7420 ,4.0550 ,1.2210 ,versicolor
472,5.1200 ,3.2520 ,1.3720 ,0.1620 ,setosa
473,6.7030 ,2.5340 ,5.1220 ,2.0680 ,virginica
474,5.8670 ,2.9120 ,5.8660 ,1.9090 ,virginica
475,5.9980 ,2.7400 ,4.2000 ,1.3470 ,versicolor
476,7.6000 ,3.0000 ,6.6000 ,2.1000 ,virginica
477,6.4000 ,2.8000 ,5.6000 ,2.2000 ,virginica
478,5.9310 ,2.8150 ,4.2330 ,1.3640 ,versicolor
479,5.6000 ,3.0000 ,4.1000 ,1.3000 ,versicolor
480,5.7000 ,3.8000 ,1.7000 ,0.3000 ,setosa
481,5.0160 ,3.4110 ,1.4520 ,0.2550 ,virginica
482,6.5320 ,2.9800 ,5.5280 ,2.0040 ,virginica
483,5.5090 ,2.8450 ,3.8750 ,1.4360 ,versicolor
484,5.0980 ,3.7510 ,1.4530 ,0.1920 ,setosa
485,6.7000 ,3.3000 ,5.7000 ,2.1000 ,virginica
486,6.5840 ,2.9540 ,5.5180 ,2.0360 ,virginica
487,5.1280 ,3.0510 ,1.3680 ,0.2880 ,setosa
488,6.0010 ,2.6780 ,3.9960 ,1.3010 ,versicolor
489,6.0240 ,2.7730 ,4.1490 ,1.2840 ,versicolor
490,5.1190 ,3.5240 ,1.3910 ,0.1990 ,setosa
491,6.2430 ,2.7980 ,3.9170 ,1.2590 ,versicolor
492,5.1520 ,2.9840 ,4.3980 ,1.2040 ,versicolor
493,6.9870 ,3.2620 ,5.3460 ,1.8180 ,virginica
494,5.2490 ,3.0370 ,1.2200 ,0.0260 ,setosa
495,4.7000 ,3.2000 ,1.6000 ,0.2000 ,setosa
496,5.7570 ,2.9510 ,4.5380 ,1.2500 ,versicolor
497,5.9720 ,2.8770 ,5.3030 ,1.9580 ,virginica
498,6.6000 ,2.9000 ,4.6000 ,1.3000 ,versicolor
499,6.5520 ,2.8880 ,5.5580 ,2.0500 ,virginica
500,6.1580 ,2.6890 ,4.1640 ,1.3020 ,versicolor
501,6.9910 ,3.0780 ,5.4080 ,1.9590 ,virginica
502,6.5790 ,2.8230 ,5.6300 ,2.0000 ,virginica
503,6.0160 ,2.8010 ,4.4700 ,1.3630 ,versicolor
504,5.6990 ,2.5000 ,4.2360 ,1.3290 ,versicolor
505,5.1000 ,3.4000 ,1.5000 ,0.2000 ,setosa
506,5.7590 ,2.9360 ,4.4620 ,1.4610 ,versicolor
507,5.8000 ,2.6000 ,4.0000 ,1.2000 ,versicolor
508,6.6510 ,2.9520 ,5.5410 ,2.0410 ,virginica
509,4.7600 ,3.9660 ,1.7100 ,0.3250 ,setosa
510,5.3590 ,2.3400 ,4.8050 ,1.3360 ,versicolor
511,5.0750 ,3.4420 ,1.4330 ,0.2430 ,setosa
512,6.0000 ,2.9000 ,4.5000 ,1.5000 ,versicolor
513,4.6730 ,3.3250 ,1.4950 ,0.2900 ,setosa
514,4.8510 ,3.5880 ,1.3530 ,0.1370 ,setosa
515,6.3320 ,3.2860 ,5.1390 ,1.8730 ,virginica
516,6.8570 ,3.0140 ,5.6670 ,2.0080 ,virginica
517,5.2000 ,3.4000 ,1.4000 ,0.2000 ,setosa
518,6.8180 ,3.1290 ,5.5970 ,2.0330 ,virginica
519,5.8000 ,2.7000 ,5.1000 ,1.9000 ,virginica
520,5.0000 ,3.3000 ,1.4000 ,0.2000 ,setosa
521,6.4550 ,3.1470 ,4.3140 ,1.2250 ,versicolor
522,4.5700 ,2.7090 ,1.2830 ,0.2850 ,setosa
523,5.0700 ,3.2940 ,1.4030 ,0.2640 ,setosa
524,6.0910 ,2.9830 ,4.5040 ,1.4510 ,versicolor
525,6.0970 ,3.5150 ,5.6420 ,1.8560 ,virginica
526,6.0950 ,2.7690 ,4.1890 ,1.3040 ,versicolor
527,5.9080 ,2.8240 ,4.4150 ,1.2800 ,versicolor
528,6.2300 ,3.0200 ,5.6040 ,1.7860 ,virginica
529,5.1050 ,3.2370 ,1.4180 ,0.2150 ,setosa
530,4.9030 ,3.6960 ,1.4710 ,0.2160 ,setosa
531,6.4310 ,2.8480 ,5.0370 ,2.4240 ,virginica
532,6.1640 ,2.5430 ,5.8960 ,2.0140 ,virginica
533,5.5940 ,3.3470 ,6.0090 ,2.1760 ,virginica
534,6.1340 ,3.4690 ,5.1120 ,1.9480 ,virginica
535,6.1420 ,2.3950 ,4.3010 ,1.3630 ,versicolor
536,5.1520 ,3.7680 ,1.3760 ,0.1960 ,setosa
537,5.9120 ,3.0300 ,4.0120 ,1.4110 ,versicolor
538,5.8870 ,2.7770 ,4.2760 ,1.3310 ,versicolor
539,4.7630 ,4.1540 ,1.2740 ,0.1750 ,setosa
540,5.9000 ,3.0000 ,5.1000 ,1.8000 ,virginica
541,4.8910 ,3.3540 ,1.5630 ,0.3840 ,setosa
542,6.5640 ,3.0410 ,5.5610 ,2.0630 ,virginica
543,5.8000 ,2.7000 ,4.1000 ,1.0000 ,versicolor
544,6.0280 ,3.0010 ,4.1420 ,1.4430 ,versicolor
545,4.9240 ,3.6250 ,1.4630 ,0.2070 ,setosa
546,6.2240 ,3.0160 ,5.4210 ,2.0770 ,virginica
547,6.0450 ,2.9930 ,4.2190 ,1.2880 ,versicolor
548,5.9000 ,3.0000 ,4.2000 ,1.5000 ,versicolor
549,5.2160 ,3.7920 ,1.3510 ,0.3090 ,setosa
550,4.9100 ,3.3160 ,1.4330 ,0.2520 ,setosa
551,5.0310 ,3.2350 ,1.1740 ,0.3210 ,setosa
552,5.9790 ,2.7940 ,4.2050 ,1.3070 ,versicolor
553,6.0310 ,2.7330 ,4.1910 ,1.3260 ,versicolor
554,6.1000 ,3.0000 ,4.9000 ,1.8000 ,virginica
555,6.1000 ,2.9000 ,4.7000 ,1.4000 ,versicolor
556,5.0000 ,3.6000 ,1.4000 ,0.2000 ,setosa
557,5.9910 ,2.3030 ,4.7110 ,1.4660 ,versicolor
558,7.1300 ,3.2720 ,5.3760 ,1.9220 ,virginica
559,5.2100 ,3.6080 ,1.4900 ,0.1280 ,setosa
560,5.8470 ,2.7300 ,4.1830 ,1.3210 ,versicolor
561,5.8810 ,2.9250 ,3.7680 ,1.4680 ,versicolor
562,6.4000 ,2.8000 ,5.6000 ,2.1000 ,virginica
563,5.4140 ,3.0720 ,3.9790 ,1.0840 ,versicolor
564,4.6550 ,3.4300 ,1.1480 ,0.3190 ,setosa
565,5.0960 ,3.5640 ,1.5300 ,0.2230 ,setosa
566,6.7000 ,3.0000 ,5.2000 ,2.3000 ,virginica
567,5.7980 ,2.9520 ,4.1010 ,1.2260 ,versicolor
568,5.3160 ,3.6180 ,1.2760 ,0.3670 ,setosa
569,4.9700 ,3.3240 ,1.5880 ,0.2920 ,setosa
570,6.7540 ,3.1170 ,5.6240 ,2.0350 ,virginica
571,5.3780 ,3.9840 ,1.3380 ,0.3830 ,setosa
572,6.4260 ,3.3500 ,5.1660 ,1.9790 ,virginica
573,6.2030 ,3.0110 ,4.5720 ,1.3550 ,versicolor
574,5.7870 ,2.9530 ,4.2480 ,1.4220 ,versicolor
575,6.7000 ,2.5000 ,5.8000 ,1.8000 ,virginica
576,6.0070 ,2.6680 ,4.5300 ,1.0940 ,versicolor
577,6.3500 ,2.8510 ,5.2000 ,2.1260 ,virginica
578,5.1160 ,4.2580 ,1.8640 ,0.2090 ,setosa
579,4.5370 ,4.0370 ,1.5820 ,0.1340 ,setosa
580,4.4800 ,3.4990 ,1.6120 ,0.1890 ,setosa
581,5.7410 ,2.6400 ,4.5580 ,1.3840 ,versicolor
582,5.0180 ,3.6390 ,1.3730 ,0.2310 ,setosa
583,5.9600 ,2.6520 ,4.5260 ,1.3480 ,versicolor
584,5.9390 ,2.7950 ,4.2430 ,1.3390 ,versicolor
585,4.7600 ,3.4450 ,1.6990 ,0.4660 ,setosa
586,6.9000 ,3.1000 ,5.4000 ,2.1000 ,virginica
587,5.0760 ,3.1610 ,1.3890 ,0.2640 ,setosa
588,5.8900 ,2.8020 ,4.2480 ,1.3190 ,versicolor
589,6.1000 ,2.8000 ,4.7000 ,1.2000 ,versicolor
590,5.0460 ,4.0620 ,1.3380 ,0.2140 ,setosa
591,6.1350 ,2.9210 ,4.0160 ,1.2430 ,versicolor
592,5.7410 ,3.5490 ,5.4160 ,1.7210 ,virginica
593,4.9840 ,3.3400 ,1.4770 ,0.1890 ,setosa
594,5.3900 ,3.2330 ,1.6600 ,0.1700 ,setosa
595,5.8900 ,2.6480 ,4.2370 ,1.3240 ,versicolor
596,4.7670 ,3.1610 ,1.4190 ,0.3250 ,setosa
597,6.4000 ,3.2000 ,5.3000 ,2.3000 ,virginica
598,4.8050 ,4.0960 ,1.3550 ,0.1570 ,setosa
599,5.2030 ,3.2970 ,1.3210 ,0.1330 ,setosa
600,4.8390 ,3.0760 ,1.5050 ,0.2040 ,setosa
601,5.3220 ,3.4430 ,1.2590 ,0.2810 ,setosa
602,4.5810 ,3.2390 ,1.5660 ,0.3190 ,setosa
603,5.9100 ,2.6720 ,5.7450 ,2.1930 ,virginica
604,5.0310 ,3.4150 ,1.4450 ,0.2510 ,setosa
605,4.8310 ,3.3350 ,1.5250 ,0.2520 ,setosa
606,5.7960 ,2.6310 ,4.4070 ,1.6440 ,versicolor
607,5.2150 ,3.7150 ,1.6010 ,0.2070 ,setosa
608,4.9900 ,3.5120 ,1.4400 ,0.2530 ,setosa
609,5.9520 ,2.3860 ,3.9590 ,1.1020 ,versicolor
610,6.3230 ,2.9590 ,5.5460 ,2.0800 ,virginica
611,7.5200 ,3.2150 ,5.3710 ,1.7270 ,virginica
612,7.0830 ,3.1320 ,5.8890 ,2.1130 ,virginica
613,6.1910 ,2.7100 ,4.6030 ,1.5160 ,versicolor
614,5.1170 ,3.3150 ,1.4100 ,0.2190 ,setosa
615,5.8000 ,2.7000 ,5.1000 ,1.9000 ,virginica
616,5.8290 ,3.1760 ,5.5290 ,1.8070 ,virginica
617,5.3760 ,2.9210 ,3.5540 ,1.2740 ,versicolor
618,5.3380 ,3.3960 ,1.7840 ,0.1650 ,setosa
619,4.8330 ,2.9580 ,1.5400 ,0.2610 ,setosa
620,5.4000 ,3.4000 ,1.7000 ,0.2000 ,setosa
621,6.4040 ,2.9190 ,5.6090 ,2.1060 ,virginica
622,5.2300 ,2.6720 ,1.3000 ,0.3060 ,setosa
623,4.8090 ,3.2210 ,1.5410 ,0.3510 ,setosa
624,4.6570 ,3.1340 ,1.3090 ,0.3110 ,setosa
625,7.1000 ,2.7570 ,5.3620 ,2.1060 ,virginica
626,4.6000 ,3.2000 ,1.4000 ,0.2000 ,setosa
627,6.4900 ,3.0670 ,5.7080 ,2.0770 ,virginica
628,5.3780 ,3.3380 ,1.1730 ,0.3950 ,setosa
629,5.0740 ,3.3600 ,1.4100 ,0.2240 ,setosa
630,4.8730 ,3.2350 ,1.2980 ,0.2320 ,setosa
631,4.8640 ,3.1260 ,1.6770 ,0.1390 ,setosa
632,6.3650 ,2.7390 ,4.5980 ,1.4810 ,versicolor
633,5.0320 ,3.3850 ,1.4440 ,0.2340 ,setosa
634,5.4730 ,2.6990 ,4.3430 ,1.4990 ,versicolor
635,5.8180 ,2.8580 ,4.3270 ,1.2830 ,versicolor
636,4.8000 ,3.4000 ,1.6000 ,0.2000 ,setosa
637,6.5260 ,2.9560 ,5.4080 ,2.1190 ,virginica
638,6.3250 ,2.2540 ,5.8440 ,1.9490 ,virginica
639,6.2000 ,2.8000 ,4.8000 ,1.8000 ,virginica
640,5.2960 ,2.8760 ,1.6380 ,0.4120 ,setosa
641,4.8990 ,3.6840 ,1.4770 ,0.3180 ,setosa
642,5.1800 ,3.4370 ,1.5770 ,0.2590 ,setosa
643,7.0800 ,3.1230 ,5.3550 ,2.0710 ,virginica
644,4.9440 ,3.1690 ,1.1710 ,0.1480 ,setosa
645,6.2670 ,2.8570 ,5.5310 ,2.3570 ,virginica
646,4.5490 ,3.0880 ,1.2800 ,0.0650 ,setosa
647,5.5000 ,2.5000 ,4.0000 ,1.3000 ,versicolor
648,5.7660 ,2.8600 ,3.8680 ,1.2780 ,versicolor
649,6.5430 ,3.0550 ,5.7310 ,1.9230 ,virginica
650,6.4540 ,3.0110 ,5.5470 ,1.9940 ,virginica
651,4.6730 ,3.8740 ,1.3520 ,0.1440 ,setosa
652,6.2000 ,3.4000 ,5.4000 ,2.3000 ,virginica
653,5.1050 ,3.6800 ,1.3370 ,0.1830 ,setosa
654,6.5150 ,2.9970 ,5.5880 ,2.0350 ,virginica
655,7.1580 ,2.6840 ,5.4240 ,1.8250 ,virginica
656,6.6620 ,2.9900 ,5.5320 ,1.9780 ,virginica
657,6.0600 ,2.8220 ,4.5640 ,1.3310 ,versicolor
658,5.4000 ,3.0000 ,4.5000 ,1.5000 ,versicolor
659,6.6050 ,3.2980 ,5.3180 ,2.2280 ,virginica
660,6.2060 ,2.3310 ,4.1390 ,1.4350 ,versicolor
661,6.2300 ,3.0630 ,4.6860 ,1.2460 ,versicolor
662,6.7910 ,3.0110 ,5.6220 ,2.0900 ,virginica
663,5.4650 ,2.8660 ,1.5220 ,0.2990 ,setosa
664,4.6190 ,3.2640 ,1.6540 ,0.1780 ,setosa
665,6.4000 ,2.9000 ,4.3000 ,1.3000 ,versicolor
666,5.9410 ,2.8020 ,4.2420 ,1.3260 ,versicolor
667,5.3820 ,2.9410 ,5.8750 ,1.6660 ,virginica
668,5.0000 ,3.4000 ,1.5000 ,0.2000 ,setosa
669,5.6110 ,2.9600 ,3.9250 ,1.2870 ,versicolor
670,6.7510 ,3.3560 ,4.1820 ,1.5070 ,versicolor
671,5.1480 ,3.4350 ,1.5100 ,0.2200 ,setosa
672,7.7300 ,3.3430 ,5.3580 ,1.9150 ,virginica
673,6.9960 ,2.9960 ,5.2150 ,2.3890 ,virginica
674,4.9630 ,3.3500 ,1.5650 ,0.2420 ,setosa
675,4.4000 ,2.9000 ,1.4000 ,0.2000 ,setosa
676,5.9240 ,3.0910 ,4.8230 ,1.2860 ,versicolor
677,6.7860 ,2.6090 ,5.3310 ,1.9980 ,virginica
678,6.7830 ,3.1690 ,5.8190 ,1.8390 ,virginica
679,6.4830 ,2.9840 ,5.5920 ,1.9540 ,virginica
680,6.3100 ,3.1470 ,5.6630 ,2.0010 ,virginica
681,5.5960 ,3.2060 ,5.1490 ,2.3130 ,virginica
682,4.8470 ,3.3990 ,1.4840 ,0.2570 ,setosa
683,6.2560 ,2.7620 ,4.1650 ,1.2870 ,versicolor
684,7.9000 ,3.8000 ,6.4000 ,2.0000 ,virginica
685,4.5830 ,3.0190 ,1.3750 ,0.2300 ,setosa
686,6.0080 ,2.9420 ,4.3210 ,1.6380 ,versicolor
687,5.2170 ,3.9700 ,1.2700 ,0.2820 ,setosa
688,4.8000 ,3.1000 ,1.6000 ,0.2000 ,setosa
689,6.0530 ,2.8890 ,4.4930 ,1.1610 ,versicolor
690,6.8000 ,3.0000 ,5.5000 ,2.1000 ,virginica
691,7.2740 ,2.8240 ,5.4450 ,2.3520 ,virginica
692,5.6320 ,2.9370 ,5.8550 ,1.9450 ,virginica
693,5.4230 ,3.5160 ,1.5400 ,0.3940 ,setosa
694,6.7630 ,3.3510 ,4.7270 ,1.4300 ,versicolor
695,6.6580 ,3.0050 ,5.5850 ,1.9880 ,virginica
696,5.5950 ,3.5390 ,5.2040 ,1.7610 ,virginica
697,5.7810 ,2.8160 ,4.3890 ,1.3810 ,versicolor
698,5.4410 ,3.8910 ,1.3890 ,0.3730 ,setosa
699,6.1510 ,3.3270 ,5.5210 ,1.9980 ,virginica
700,6.6730 ,2.9110 ,5.5140 ,2.0530 ,virginica
701,7.1000 ,3.0000 ,5.9000 ,2.1000 ,virginica
702,6.8830 ,2.9410 ,5.7860 ,2.1030 ,virginica
703,5.8430 ,2.6280 ,3.7660 ,1.1560 ,versicolor
704,6.4000 ,3.2000 ,4.5000 ,1.5000 ,versicolor
705,6.1930 ,2.8810 ,4.0260 ,1.1750 ,versicolor
706,5.0330 ,3.3670 ,1.4910 ,0.2590 ,setosa
707,6.3350 ,2.9310 ,5.6650 ,1.9860 ,virginica
708,6.1170 ,2.8790 ,4.1740 ,1.5290 ,versicolor
709,6.5870 ,2.9590 ,5.5380 ,2.0300 ,virginica
710,4.8540 ,3.3030 ,1.3980 ,0.2550 ,setosa
711,5.0110 ,3.4630 ,1.5320 ,0.2740 ,setosa
712,6.1210 ,2.9210 ,4.2480 ,1.2690 ,versicolor
713,5.8000 ,2.7000 ,3.9000 ,1.2000 ,versicolor
714,5.6340 ,3.4840 ,5.2800 ,1.8840 ,virginica
715,5.3290 ,2.4170 ,6.1450 ,2.2880 ,virginica
716,6.5240 ,2.9790 ,5.5260 ,2.0470 ,virginica
717,7.2510 ,2.7630 ,5.5600 ,2.5040 ,virginica
718,6.7020 ,3.0860 ,5.6780 ,2.0210 ,virginica
719,5.2230 ,3.4420 ,1.2740 ,0.3180 ,setosa
720,6.7160 ,3.3710 ,5.7530 ,2.2640 ,virginica
721,4.9480 ,3.4230 ,1.7310 ,0.4330 ,setosa
722,7.7000 ,2.8000 ,6.7000 ,2.0000 ,virginica
723,5.6000 ,2.9000 ,3.6000 ,1.3000 ,versicolor
724,5.9760 ,2.8120 ,4.3200 ,1.3540 ,versicolor
725,6.5210 ,2.9930 ,5.5190 ,2.0290 ,virginica
726,5.1000 ,3.7000 ,1.5000 ,0.4000 ,setosa
727,5.0540 ,3.4220 ,1.4560 ,0.2190 ,setosa
728,6.3970 ,3.2510 ,4.1830 ,1.2650 ,versicolor
729,6.0390 ,2.6920 ,4.1960 ,1.2970 ,versicolor
730,5.9990 ,2.8140 ,4.6940 ,1.0350 ,versicolor
731,5.7880 ,3.2260 ,3.8350 ,1.3680 ,versicolor
732,6.6940 ,2.7420 ,5.4690 ,2.0890 ,virginica
733,4.9040 ,3.6110 ,1.5270 ,0.2330 ,setosa
734,6.5110 ,3.0010 ,5.4270 ,2.1500 ,virginica
735,5.0010 ,3.0010 ,1.5800 ,0.3230 ,setosa
736,6.0490 ,2.5740 ,4.3960 ,1.3240 ,versicolor
737,4.5250 ,3.5060 ,1.2420 ,0.2450 ,setosa
738,6.3000 ,2.3000 ,4.4000 ,1.3000 ,versicolor
739,6.5000 ,3.0000 ,5.5000 ,1.8000 ,virginica
740,5.0360 ,3.3620 ,1.4780 ,0.2470 ,setosa
741,4.7960 ,3.1780 ,1.4950 ,0.1090 ,setosa
742,4.9930 ,3.5280 ,1.3890 ,0.2020 ,setosa
743,6.4170 ,2.6360 ,5.6900 ,1.9740 ,virginica
744,6.5920 ,3.0850 ,5.4940 ,1.9930 ,virginica
745,5.8890 ,2.7400 ,4.2270 ,1.2350 ,versicolor
746,6.3990 ,2.5070 ,3.9380 ,1.4130 ,versicolor
747,5.7900 ,2.8500 ,4.3800 ,1.2960 ,versicolor
748,6.7550 ,3.2530 ,4.4470 ,1.4120 ,versicolor
749,6.1750 ,2.6980 ,4.0160 ,1.3860 ,versicolor
750,5.7910 ,2.6690 ,4.2250 ,1.3500 ,versicolor
751,6.6600 ,3.0680 ,5.5680 ,1.7610 ,virginica
752,4.9960 ,4.0250 ,1.2650 ,0.2100 ,setosa
753,4.9880 ,3.4860 ,1.2390 ,0.2340 ,setosa
754,5.4790 ,2.9430 ,4.3160 ,1.4330 ,versicolor
755,7.0000 ,2.9020 ,5.2860 ,1.9250 ,virginica
756,6.5630 ,2.9880 ,5.6180 ,2.0700 ,virginica
757,5.1040 ,2.9550 ,1.6330 ,0.1280 ,setosa
758,6.9110 ,2.7470 ,5.5970 ,1.8880 ,virginica
759,6.0950 ,2.6450 ,4.4580 ,1.3120 ,versicolor
760,5.6140 ,2.9390 ,3.6120 ,1.1750 ,versicolor
761,5.5890 ,3.3370 ,1.3740 ,0.3240 ,setosa
762,5.0990 ,3.3960 ,1.4580 ,0.2550 ,setosa
763,5.2060 ,3.5700 ,1.3940 ,0.2530 ,setosa
764,6.5290 ,2.7580 ,5.3580 ,1.9980 ,virginica
765,6.4000 ,2.7000 ,5.3000 ,1.9000 ,virginica
766,6.3610 ,2.9780 ,4.9320 ,1.3110 ,versicolor
767,5.9210 ,2.7480 ,4.2150 ,1.3260 ,versicolor
768,6.4820 ,3.2060 ,4.7980 ,1.2500 ,versicolor
769,6.2180 ,3.0280 ,4.7880 ,1.0650 ,versicolor
770,5.4870 ,2.7910 ,3.7520 ,1.3770 ,versicolor
771,5.0640 ,3.2400 ,1.6240 ,0.3080 ,setosa
772,6.1240 ,2.4070 ,4.7720 ,1.4490 ,versicolor
773,6.1530 ,2.8340 ,4.2390 ,1.2480 ,versicolor
774,5.7330 ,3.1060 ,5.2740 ,1.7040 ,virginica
775,4.9040 ,3.9560 ,1.8640 ,0.2640 ,setosa
776,6.1700 ,2.8040 ,4.1170 ,1.2030 ,versicolor
777,6.5000 ,3.0000 ,5.8000 ,2.2000 ,virginica
778,5.0000 ,2.0000 ,3.5000 ,1.0000 ,versicolor
779,5.1000 ,3.4680 ,1.5140 ,0.3040 ,setosa
780,5.9900 ,2.6510 ,4.0850 ,1.1380 ,versicolor
781,6.9610 ,2.8420 ,5.4550 ,2.2960 ,virginica
782,6.4030 ,2.9540 ,4.2340 ,1.2240 ,versicolor
783,6.3630 ,2.6250 ,5.5630 ,1.8310 ,virginica
784,5.8500 ,2.4990 ,4.9590 ,1.9060 ,virginica
785,6.2860 ,2.8070 ,5.8730 ,2.2080 ,virginica
786,5.1090 ,2.6970 ,1.3650 ,0.2990 ,setosa
787,6.8260 ,3.0660 ,5.2100 ,1.6390 ,virginica
788,6.2110 ,2.9240 ,5.6510 ,2.0140 ,virginica
789,4.8980 ,3.2810 ,1.5020 ,0.2480 ,setosa
790,6.6990 ,3.4370 ,5.8860 ,2.0680 ,virginica
791,7.4000 ,2.8000 ,6.1000 ,1.9000 ,virginica
792,6.5580 ,3.1360 ,5.6670 ,2.0270 ,virginica
793,6.4480 ,2.9690 ,5.6530 ,1.9820 ,virginica
794,5.0120 ,3.4990 ,1.4790 ,0.2200 ,setosa
795,5.4040 ,2.2840 ,4.3700 ,1.0870 ,versicolor
796,5.8270 ,2.5770 ,4.5870 ,1.4440 ,versicolor
797,5.9400 ,2.7730 ,4.2390 ,1.3130 ,versicolor
798,5.0000 ,3.5000 ,1.3000 ,0.3000 ,setosa
799,5.3780 ,2.9760 ,1.3790 ,0.3420 ,setosa
800,5.5440 ,2.9300 ,4.3750 ,1.3620 ,versicolor
801,5.1000 ,3.8000 ,1.5000 ,0.3000 ,setosa
802,5.4000 ,3.4000 ,1.5000 ,0.4000 ,setosa
803,5.2670 ,2.9230 ,4.1780 ,1.2640 ,versicolor
804,5.9320 ,2.8310 ,4.2070 ,1.3250 ,versicolor
805,4.9020 ,3.1570 ,1.2960 ,0.2760 ,setosa
806,6.6650 ,2.9610 ,5.3140 ,2.1490 ,virginica
807,6.2450 ,3.0210 ,5.5160 ,1.8860 ,virginica
808,5.9400 ,2.7480 ,4.2860 ,1.3440 ,versicolor
809,5.6660 ,2.8330 ,4.3840 ,1.1360 ,versicolor
810,5.7130 ,2.4650 ,3.9580 ,1.3360 ,versicolor
811,5.9860 ,2.5580 ,4.2600 ,1.2710 ,versicolor
